Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,Enerpoint Ltd.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"Samsung Electro Mechanics co., LTD.",Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Netgear Inc.,Time,Intel Corporate,Time,DrayTek Corp.,Time,"Apple, Inc",Time,"NETGEAR INC.,",Time,"Samsung Electro Mechanics co.,LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Ubiquiti Networks,Time,Hewlett Packard,Time,IBM Corp,Time,Elitegroup Computer System Co.,Time,Liteon Tech Corp.,Time,HTC Corporation,Time,Hewlett-Packard Company,Time,"Billion Electric Co., Ltd.",Time,SEIKO EPSON CORPORATION,Time,"Murata Manufactuaring Co.,Ltd.",Time,Netgear Inc,Time,"Apple, Inc.",Time,Routerboard.com,Time,"SAMSUNG ELECTRO MECHANICS CO.,LTD.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Lexmark International Inc.,Time,ICP Electronics Inc.,Time,"Samsung Electronics Co.,Ltd"
248,9,248,0,248,1,248,1,248,2,248,0,248,1,248,2,248,0,248,1,248,3,248,2,248,2,253,1,253,2,257,2,257,1,279,1,283,1,283,0,286,0,291,1,299,0,329,0,363,0,367,0,423,0,465,0,520,0,625,0,655,0,848,0,1140,0,1174,0,1528,0,2022,0,2174,0,,
253,9,253,0,253,1,253,1,253,2,253,0,253,1,253,3,253,0,253,1,253,3,253,2,253,2,257,1,257,2,262,2,262,1,283,1,286,1,286,0,291,0,296,2,304,0,333,0,367,0,372,0,426,0,469,0,524,0,630,0,659,0,853,0,1145,0,1178,0,1533,0,2026,0,2178,0,,
257,9,257,0,257,1,257,1,257,2,257,0,257,1,257,3,257,0,257,1,257,3,257,2,257,2,262,1,262,2,266,2,266,2,286,1,291,1,291,0,296,0,299,2,308,0,338,0,372,0,375,0,431,0,473,0,528,0,633,0,663,0,857,0,1149,0,1183,0,1537,0,2031,0,2182,0,,
262,9,262,0,262,1,262,1,262,2,262,0,262,1,262,3,262,0,262,1,262,3,262,2,262,2,266,1,266,2,270,2,270,1,291,1,296,1,296,0,299,0,304,2,312,0,342,0,375,0,380,0,435,0,477,0,532,0,638,0,668,0,861,0,1153,0,1187,0,1542,0,2035,0,2187,0,,
266,9,266,0,266,1,266,1,266,2,266,0,266,1,266,3,266,0,266,1,266,3,266,2,266,2,270,1,270,2,274,2,274,1,296,1,299,1,299,0,304,0,308,2,317,0,346,0,380,0,384,0,439,0,482,0,536,0,642,0,672,0,865,0,1157,0,1190,0,1545,0,2039,0,2191,0,,
270,9,270,0,270,1,270,1,270,2,270,0,270,2,270,3,270,0,270,1,270,2,270,2,270,2,274,1,274,2,279,2,279,1,299,1,304,1,304,0,308,0,312,1,321,0,350,0,384,0,388,0,444,0,486,0,541,0,646,0,676,0,870,0,1162,0,1195,0,1549,0,2043,0,2196,0,,
274,9,274,0,274,1,274,1,274,2,274,0,274,2,274,3,274,0,274,1,274,3,274,2,274,2,279,1,279,1,283,2,283,2,304,1,308,1,308,0,312,0,317,1,325,0,354,0,388,0,392,0,447,0,489,0,545,0,651,0,680,0,874,0,1165,0,1199,0,1554,0,2048,0,2199,0,,
279,9,279,0,279,1,279,1,279,2,279,0,279,2,279,2,279,0,279,1,279,3,279,2,279,2,283,1,283,1,286,2,286,2,308,1,312,1,312,0,317,1,321,1,329,0,358,0,392,0,396,0,452,0,494,0,549,0,655,0,684,0,878,0,1169,0,1204,0,1558,0,2052,0,2204,0,,
283,9,283,0,283,1,283,1,283,2,283,0,283,2,283,2,283,0,283,1,283,3,283,2,283,2,286,1,286,1,291,2,291,2,312,1,317,1,317,0,321,1,325,1,333,0,363,0,396,0,401,0,456,0,499,0,553,0,659,0,689,0,883,0,1174,0,1208,0,1562,0,2056,0,2208,0,,
286,9,286,0,286,1,286,1,286,2,286,0,286,2,286,2,286,0,286,1,286,3,286,2,286,2,291,1,291,1,296,2,296,3,317,1,321,1,321,0,325,1,329,1,338,0,367,0,401,0,405,0,460,0,502,0,557,0,663,0,693,0,887,0,1178,0,1212,0,1567,0,2060,0,2212,0,,
