Time,Manual_Count,Time,Intel Corporate,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Microsoft Corporation,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"NETGEAR INC.,",Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Belkin International Inc.,Time,Netgear Inc.,Time,"Murata Manufactuaring Co.,Ltd.",Time,Hewlett Packard,Time,"Micro-Star Int'l Co, Ltd",Time,"Huawei Technologies Co., Ltd",Time,HTC Corporation,Time,"Apple, Inc",Time,SEIKO EPSON CORPORATION,Time,IBM Corp,Time,IBM,Time,Ubiquiti Networks,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"Samsung Electronics Co.,Ltd",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"ELITEGROUP COMPUTER SYSTEM CO., LTD.",Time,Liteon Technology Corporation,Time,"Samsung Electro Mechanics co., LTD.",Time,ASUSTek COMPUTER INC.,Time,"Samsung Electronics Co., LTD",Time,Apple Inc,Time,"Apple, Inc.",Time,WISOL
,,243,1,243,1,243,2,243,0,243,1,243,2,243,3,243,2,243,3,243,1,243,1,247,1,252,2,284,0,310,0,310,1,323,0,336,0,349,0,366,1,375,0,375,0,402,0,406,0,414,0,423,0,497,0,519,1,,,,,,,,,,,,
,,247,0,247,1,247,2,247,0,247,1,247,2,247,3,247,2,247,2,247,2,247,1,252,1,256,2,288,0,314,0,314,1,327,0,340,0,353,0,370,1,379,0,379,0,406,0,410,0,419,0,427,0,502,0,524,1,,,,,,,,,,,,
,,252,0,252,1,252,2,252,0,252,1,252,2,252,3,252,2,252,2,252,2,252,1,256,1,261,2,292,0,318,0,318,0,332,0,345,0,358,0,375,1,384,0,384,0,410,0,414,1,423,0,432,0,506,0,528,1,,,,,,,,,,,,
,,256,0,256,1,256,2,256,0,256,1,256,2,256,3,256,2,256,2,256,2,256,1,261,1,270,0,297,0,323,0,323,0,336,0,349,0,362,0,379,1,388,0,388,0,414,0,419,1,427,0,436,0,511,0,532,1,,,,,,,,,,,,
,,261,0,261,1,261,2,261,0,261,1,261,2,261,3,261,2,261,2,261,2,261,1,270,1,275,0,301,0,327,0,327,0,340,0,353,0,366,0,384,1,393,0,393,0,419,0,423,1,432,0,441,0,515,0,537,1,,,,,,,,,,,,
,,270,0,270,1,270,2,270,0,270,1,270,2,270,2,270,2,270,2,270,2,270,1,275,0,279,0,306,0,332,0,332,0,345,0,358,0,370,1,388,0,397,0,397,0,423,0,427,1,436,0,445,0,519,0,541,0,,,,,,,,,,,,
,,275,0,275,2,275,2,275,0,275,1,275,1,275,2,275,2,275,2,275,2,275,1,279,0,284,0,310,0,336,0,336,0,349,0,362,0,375,1,393,0,402,0,402,0,427,0,432,1,441,0,449,0,524,0,546,0,,,,,,,,,,,,
,,279,0,279,2,279,2,279,0,279,1,279,1,279,2,279,2,279,3,279,2,279,1,284,0,288,0,314,0,340,1,340,0,353,0,366,0,379,1,397,0,406,0,406,0,432,0,436,1,445,0,454,0,528,0,550,0,,,,,,,,,,,,
,,284,0,284,1,284,2,284,0,284,1,284,1,284,1,284,2,284,3,284,1,284,1,288,0,292,0,318,0,345,1,345,0,358,0,370,0,384,1,402,0,410,0,410,0,436,0,441,1,449,0,458,0,532,0,554,0,,,,,,,,,,,,
,,288,0,288,1,288,2,288,0,288,1,288,1,288,1,288,2,288,3,288,1,288,1,292,0,297,0,323,0,349,1,349,0,362,1,375,0,388,1,406,0,414,0,414,0,441,0,445,1,454,0,462,0,537,0,559,0,,,,,,,,,,,,
,,292,0,292,1,292,2,292,0,292,1,292,1,292,1,292,2,292,2,292,1,292,1,297,0,301,0,327,0,353,1,353,0,366,1,379,0,393,1,410,0,419,0,419,0,445,0,449,0,458,0,467,0,541,0,563,0,,,,,,,,,,,,
,,297,0,297,1,297,2,297,0,297,1,297,1,297,1,297,2,297,3,297,1,297,1,301,0,306,0,332,0,358,1,358,0,370,1,384,0,397,0,414,0,423,0,423,0,449,0,454,0,462,0,471,0,546,0,567,0,,,,,,,,,,,,
,,301,0,301,1,301,2,301,0,301,1,301,1,301,2,301,2,301,3,301,1,301,1,306,0,310,0,336,0,362,1,362,0,375,1,388,0,402,0,419,0,427,0,427,0,454,0,458,0,467,0,475,0,550,0,571,0,,,,,,,,,,,,
,,306,0,306,1,306,2,306,0,306,1,306,1,306,2,306,2,306,2,306,1,306,1,310,0,314,0,340,0,366,0,366,0,379,1,393,0,406,1,423,1,432,0,432,0,458,0,462,0,471,0,480,0,554,0,576,0,,,,,,,,,,,,
,,310,1,310,1,310,2,310,0,310,1,310,1,310,2,310,2,310,2,310,1,310,1,314,0,318,0,345,0,370,0,370,0,384,1,397,0,410,1,427,1,436,0,436,0,462,0,467,0,475,0,485,0,559,0,580,0,,,,,,,,,,,,
,,314,1,314,2,314,2,314,0,314,1,314,1,314,2,314,2,314,2,314,1,314,1,318,1,323,0,349,0,375,0,375,0,388,1,402,0,414,1,432,1,441,0,441,0,467,0,471,0,480,0,489,0,563,0,585,0,,,,,,,,,,,,
