Time,Manual_Count,Time,Netgear Inc.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,DrayTek Corp.,Time,NETCOMM LIMITED,Time,Intel Corporate,Time,Dell Inc,Time,Netgear Inc,Time,"Apple, Inc.",Time,"Apple, Inc",Time,Hewlett-Packard Company,Time,D-Link International,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett Packard,Time,IBM Corp,Time,Ubiquiti Networks,Time,ASUSTek COMPUTER INC.,Time,Liteon Tech Corp.,Time,"NETGEAR INC.,",Time,SEIKO EPSON CORPORATION,Time,Microsoft,Time,"SAMSUNG ELECTRO MECHANICS CO., LTD.",Time,Liteon Technology Corporation,Time,"Samsung Electronics Co.,Ltd",Time,ASRock Incorporation,Time,Routerboard.com,Time,Apple Inc,Time,"Samsung Electro Mechanics co., LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Sony Mobile Communications AB
238,17,238,1,238,3,238,3,238,1,238,0,238,1,238,7,238,1,238,1,242,1,242,1,247,3,247,0,247,1,251,0,251,1,256,0,260,1,277,0,277,2,286,1,293,1,293,1,310,0,319,1,323,0,323,0,323,0,,,,,,,,,,,,,,,,
242,17,242,1,242,3,242,3,242,1,242,1,242,1,242,9,242,1,242,1,247,1,247,1,251,1,251,0,251,1,256,0,256,1,260,0,264,1,281,0,281,2,290,1,298,1,298,0,315,1,323,1,327,0,327,0,327,0,,,,,,,,,,,,,,,,
247,17,247,1,247,3,247,3,247,1,247,1,247,1,247,9,247,1,247,1,251,1,251,1,256,1,256,0,256,1,260,0,260,1,264,0,268,1,286,0,286,2,293,1,302,1,302,0,319,1,327,1,331,1,331,0,331,0,,,,,,,,,,,,,,,,
251,17,251,1,251,3,251,3,251,1,251,1,251,1,251,10,251,1,251,1,256,1,256,1,260,0,260,0,260,1,264,0,264,1,268,0,272,1,290,0,290,2,298,1,307,1,307,0,323,1,331,1,336,1,336,0,336,0,,,,,,,,,,,,,,,,
256,17,256,1,256,3,256,2,256,1,256,1,256,1,256,8,256,2,256,1,260,1,260,1,264,1,264,0,264,1,268,0,268,1,272,1,277,1,293,0,293,2,302,1,310,1,310,0,327,1,336,1,340,1,340,0,340,0,,,,,,,,,,,,,,,,
260,17,260,1,260,3,260,2,260,1,260,1,260,1,260,9,260,2,260,1,264,1,264,1,268,1,268,0,268,1,272,0,272,1,277,2,281,1,298,0,298,2,307,1,315,1,315,0,331,1,340,1,344,1,344,0,344,0,,,,,,,,,,,,,,,,
264,17,264,1,264,2,264,2,264,1,264,2,264,1,264,9,264,2,264,1,268,0,268,1,272,1,272,0,272,1,277,0,277,1,281,2,286,1,302,0,302,0,310,1,319,1,319,0,336,1,344,0,348,1,348,0,348,0,,,,,,,,,,,,,,,,
268,17,268,1,268,1,268,1,268,1,268,2,268,1,268,9,268,2,268,1,272,0,272,1,277,1,277,0,277,1,281,0,281,0,286,2,290,1,307,0,307,0,315,1,323,1,323,0,340,1,348,1,352,1,352,0,352,0,,,,,,,,,,,,,,,,
272,17,272,1,272,1,272,1,272,1,272,2,272,1,272,9,272,2,272,1,277,0,277,1,281,1,281,0,281,1,286,0,286,0,290,2,293,1,310,0,310,0,319,1,327,1,327,0,344,1,352,1,357,1,357,0,357,0,,,,,,,,,,,,,,,,
277,17,277,1,277,1,277,1,277,1,277,2,277,1,277,9,277,2,277,1,281,0,281,1,286,1,286,0,286,1,290,0,290,0,293,2,298,1,315,0,315,0,323,1,331,1,331,0,348,0,357,1,361,1,361,0,361,1,,,,,,,,,,,,,,,,
