Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,Ubiquiti Networks,Time,UNKNOWN,Time,Apple,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,NETGEAR,Time,DrayTek Corp.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,D-Link International,Time,Netgear Inc,Time,"NETGEAR INC.,",Time,ASRock Incorporation,Time,Routerboard.com,Time,ASUSTek COMPUTER INC.,Time,ASUSTek COMPUTER INC.,Time,"Apple, Inc",Time,ASUSTek COMPUTER INC.,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett-Packard Company,Time,IBM Corp,Time,Netgear Inc.,Time,Apple Inc,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,PEGATRON CORPORATION,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Dell Inc,Time,Hewlett Packard,Time,Liteon Technology Corporation,Time,Liteon Tech Corp.,Time,Lexmark International Inc.,Time,"Samsung Electro Mechanics co., LTD.",Time,HTC Corporation,Time,Sony Mobile Communications AB,Time,"Apple, Inc.",Time,"SAMSUNG ELECTRO MECHANICS CO.,LTD.",Time,"AzureWave Technologies, Inc.",Time,Microsoft,Time,Belkin International Inc.
184,9,184,2,184,1,184,3,184,3,184,2,184,1,184,2,184,1,188,1,188,0,193,0,193,5,196,1,201,1,201,1,210,1,218,0,222,1,226,1,226,1,230,1,230,0,235,2,235,1,239,0,247,0,251,0,260,0,264,0,281,0,281,0,306,0,319,0,327,0,,,,,,,,,,,,,,,,
188,9,188,2,188,1,188,3,188,4,188,2,188,1,188,2,188,1,193,1,193,0,196,0,196,2,201,1,205,1,205,1,213,0,222,0,226,1,230,1,230,1,235,1,235,0,239,2,239,1,243,0,251,0,256,0,264,0,268,0,285,0,285,0,310,0,323,0,332,0,,,,,,,,,,,,,,,,
193,9,193,2,193,1,193,3,193,3,193,2,193,1,193,2,193,1,196,1,196,0,201,1,201,3,205,1,210,1,210,1,218,0,226,0,230,1,235,1,235,1,239,1,239,0,243,2,243,1,247,0,256,0,260,0,268,0,272,0,290,0,290,0,315,0,327,0,336,0,,,,,,,,,,,,,,,,
196,9,196,1,196,1,196,2,196,3,196,3,196,1,196,1,196,1,201,1,201,0,205,1,205,3,210,1,213,1,213,1,222,0,230,0,235,1,239,1,239,1,243,1,243,0,247,2,247,1,251,0,260,0,264,0,272,0,277,0,293,0,293,0,319,0,332,0,,,,,,,,,,,,,,,,,,
201,9,201,1,201,1,201,3,201,3,201,3,201,1,201,1,201,1,205,1,205,0,210,1,210,3,213,1,218,1,218,1,226,0,235,0,239,1,243,1,243,1,247,1,247,0,251,2,251,1,256,0,264,0,268,0,277,0,281,0,297,0,297,0,323,0,336,0,,,,,,,,,,,,,,,,,,
205,9,205,1,205,1,205,3,205,3,205,3,205,1,205,1,205,1,210,1,210,0,213,1,213,3,218,1,222,1,222,1,230,0,239,0,243,1,247,1,247,1,251,1,251,0,256,1,256,1,260,0,268,0,272,0,281,0,285,0,302,0,302,0,327,0,,,,,,,,,,,,,,,,,,,,
210,9,210,1,210,1,210,3,210,3,210,4,210,1,210,2,210,1,213,1,213,0,218,1,218,1,222,1,226,1,226,1,235,0,243,1,247,1,251,1,251,1,256,2,256,0,260,1,260,0,264,0,272,0,277,0,285,0,290,0,306,0,306,1,332,0,,,,,,,,,,,,,,,,,,,,
213,9,213,0,213,1,213,3,213,4,213,3,213,1,213,2,213,1,218,1,218,0,222,1,222,1,226,1,230,1,230,0,239,0,247,1,251,1,256,2,256,0,260,2,260,0,264,1,264,0,268,0,277,0,281,0,290,0,293,0,310,0,310,1,336,0,,,,,,,,,,,,,,,,,,,,
218,9,218,0,218,1,218,3,218,4,218,4,218,1,218,2,218,1,222,1,222,0,226,1,226,1,230,1,235,1,235,1,243,0,251,1,256,2,260,2,260,0,264,2,264,0,268,1,268,0,272,0,281,0,285,0,293,0,297,0,315,0,315,1,,,,,,,,,,,,,,,,,,,,,,
222,9,222,1,222,1,222,2,222,5,222,4,222,1,222,2,222,1,226,1,226,0,230,0,230,0,235,1,239,1,239,1,247,0,256,1,260,2,264,2,264,0,268,2,268,1,272,1,272,0,277,0,285,0,290,0,297,0,302,0,319,0,319,1,,,,,,,,,,,,,,,,,,,,,,
226,9,226,1,226,1,226,2,226,5,226,4,226,1,226,2,226,1,230,1,230,0,235,0,235,1,239,1,243,1,243,1,251,0,260,1,264,2,268,2,268,0,272,2,272,1,277,1,277,0,281,0,290,0,293,0,302,0,306,0,323,0,323,1,,,,,,,,,,,,,,,,,,,,,,
230,9,230,1,230,1,230,2,230,5,230,3,230,1,230,2,230,1,235,1,235,0,239,1,239,1,243,1,247,1,247,1,256,0,264,1,268,2,272,2,272,0,277,2,277,1,281,0,281,0,285,0,293,0,297,0,306,0,310,0,327,0,327,1,,,,,,,,,,,,,,,,,,,,,,
235,9,235,1,235,1,235,2,235,5,235,3,235,1,235,2,235,1,239,1,239,0,243,1,243,2,247,1,251,1,251,1,260,0,268,1,272,2,277,2,277,0,281,2,281,1,285,0,285,0,290,0,297,0,302,0,310,0,315,0,332,0,332,1,,,,,,,,,,,,,,,,,,,,,,
239,9,239,1,239,1,239,3,239,5,239,2,239,1,239,2,239,1,243,1,243,0,247,1,247,2,251,1,256,1,256,1,264,0,272,1,277,2,281,2,281,0,285,2,285,1,290,0,290,0,293,0,302,0,306,0,315,0,319,0,336,0,336,1,,,,,,,,,,,,,,,,,,,,,,
243,9,243,1,243,0,243,3,243,3,243,2,243,1,243,2,243,1,247,1,247,1,251,1,251,2,256,1,260,1,260,1,268,0,277,1,281,2,285,2,285,0,290,1,290,1,293,0,293,0,297,0,306,0,310,0,319,0,323,0,,,,,,,,,,,,,,,,,,,,,,,,,,
247,9,247,1,247,0,247,3,247,3,247,2,247,1,247,2,247,1,251,1,251,1,256,1,256,2,260,1,264,1,264,1,272,0,281,1,285,2,290,1,290,0,293,1,293,1,297,0,297,0,302,0,310,0,315,0,323,0,327,0,,,,,,,,,,,,,,,,,,,,,,,,,,
251,11,251,1,251,0,251,3,251,3,251,2,251,1,251,2,251,1,256,1,256,1,260,1,260,2,264,1,268,1,268,1,277,0,285,1,290,1,293,1,293,0,297,1,297,0,302,0,302,0,306,0,315,0,319,0,327,0,332,0,,,,,,,,,,,,,,,,,,,,,,,,,,
256,11,256,2,256,0,256,3,256,2,256,2,256,1,256,2,256,1,260,1,260,1,264,1,264,3,268,1,272,1,272,1,281,0,290,1,293,1,297,1,297,0,302,2,302,1,306,0,306,0,310,0,319,0,323,0,332,0,336,0,,,,,,,,,,,,,,,,,,,,,,,,,,
260,11,260,2,260,1,260,3,260,2,260,2,260,1,260,2,260,1,264,1,264,1,268,1,268,3,272,1,277,1,277,1,285,0,293,1,297,1,302,2,302,0,306,2,306,2,310,0,310,0,315,0,323,0,327,0,336,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,11,264,2,264,1,264,3,264,2,264,2,264,1,264,2,264,1,268,1,268,1,272,2,272,3,277,1,281,1,281,1,290,0,297,1,302,2,306,2,306,0,310,2,310,2,315,0,315,1,319,0,327,0,332,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,11,268,2,268,1,268,3,268,3,268,2,268,1,268,2,268,1,272,1,272,1,277,2,277,3,281,1,285,1,285,1,293,0,302,1,306,2,310,2,310,1,315,2,315,2,319,0,319,1,323,0,332,0,336,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,11,272,2,272,1,272,2,272,3,272,3,272,1,272,2,272,1,277,1,277,1,281,2,281,3,285,1,290,1,290,1,297,0,306,2,310,2,315,2,315,2,319,3,319,2,323,0,323,1,327,0,336,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
