Timeout,RSSI,Trial Number,Manual Count,Total_Devs
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,23,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,21,0
90,70,36,20,0
90,80,37,0,0
90,80,37,21,6
90,80,37,21,10
90,80,37,21,10
90,80,37,21,11
90,80,37,21,11
90,80,37,21,12
90,80,37,21,13
90,80,37,21,15
90,80,37,21,15
90,80,37,21,17
90,80,37,21,15
90,80,37,21,15
90,80,37,21,15
90,80,37,21,18
90,80,37,21,20
90,80,37,21,21
90,80,37,21,20
90,80,37,21,21
90,80,37,21,26
90,80,37,21,25
90,80,37,21,24
90,80,37,21,24
90,80,37,21,25
90,80,37,21,28
90,80,37,21,30
90,80,37,21,31
90,80,37,21,31
90,80,37,21,30
90,80,37,21,28
90,80,37,21,28
90,80,37,21,26
90,80,37,21,26
90,80,37,21,26
90,80,37,21,25
90,80,37,21,26
90,80,37,21,29
90,80,37,21,32
90,80,37,21,34
90,80,37,21,37
90,80,37,21,37
90,80,37,21,34
90,80,37,21,39
90,80,37,21,40
90,80,37,23,40
90,80,37,23,38
90,80,37,23,38
90,80,37,23,40
90,80,37,23,45
90,80,37,23,47
90,80,37,23,48
90,80,37,23,49
90,80,37,23,48
90,80,37,23,50
90,80,37,23,50
90,80,37,23,55
90,80,37,23,55
90,80,37,23,56
90,80,37,23,57
90,80,37,23,58
90,80,37,23,56
90,80,37,23,58
90,80,37,23,61
90,80,37,23,61
90,80,37,23,60
90,80,37,23,62
90,80,37,23,60
90,80,37,23,60
90,80,37,23,58
90,80,37,23,60
90,80,37,23,56
90,80,37,23,54
90,80,37,23,56
90,80,37,23,56
90,80,37,23,56
90,80,37,23,58
90,80,37,23,58
45,90,38,0,0
45,90,38,22,2
45,90,38,22,15
45,90,38,22,20
45,90,38,22,23
45,90,38,22,25
45,90,38,22,27
45,90,38,22,31
45,90,38,22,31
45,90,38,22,32
45,90,38,22,35
45,90,38,22,37
45,90,38,22,37
45,90,38,22,37
45,90,38,22,35
45,90,38,22,36
45,90,38,22,37
45,90,38,22,38
45,90,38,22,36
45,90,38,22,38
45,90,38,22,39
45,90,38,22,39
45,90,38,22,40
45,90,38,22,43
45,90,38,25,41
45,90,38,25,41
45,90,38,25,43
45,90,38,25,45
45,90,38,25,47
45,90,38,25,46
45,90,38,25,43
45,90,38,25,41
45,90,38,25,43
45,90,38,25,42
45,90,38,25,40
45,90,38,25,41
45,90,38,25,44
45,90,38,25,44
45,90,38,25,40
45,90,38,25,41
45,90,38,23,41
45,90,38,24,42
45,90,38,24,43
45,90,38,24,40
45,90,38,24,39
45,90,38,24,37
45,90,38,24,36
45,90,38,24,39
45,90,38,24,40
45,90,38,24,40
45,90,38,24,42
45,90,38,24,40
45,90,38,24,39
45,90,38,24,38
45,90,38,24,39
45,90,38,24,41
45,90,38,24,45
45,90,38,24,46
45,90,38,24,46
45,90,38,24,47
45,90,38,24,44
45,90,38,24,44
45,90,38,24,47
45,90,38,24,48
45,90,38,24,47
45,90,38,24,45
45,90,38,21,46
45,90,38,21,52
45,90,38,21,51
45,90,38,21,50
45,90,38,21,52
45,90,38,21,47
45,90,38,21,50
45,90,38,21,50
45,90,38,21,51
45,90,38,21,50
45,90,38,21,50
45,90,38,21,50
45,90,38,21,46
45,90,38,21,47
45,90,38,21,49
45,90,38,21,50
45,90,38,21,50
45,90,38,21,50
45,90,38,21,52
45,90,38,21,47
45,90,38,21,48
45,90,38,21,48
45,90,38,21,42
45,90,38,21,40
45,90,38,21,41
45,90,38,21,41
45,90,38,21,42
45,90,38,21,43
45,90,38,21,44
45,90,38,19,45
45,90,38,19,45
45,90,38,19,44
45,70,39,0,0
45,70,39,17,0
45,70,39,17,6
45,70,39,17,6
45,70,39,17,8
45,70,39,17,10
45,70,39,17,10
45,70,39,17,12
45,70,39,17,9
45,70,39,17,10
45,70,39,17,9
45,70,39,17,12
45,70,39,17,13
45,70,39,17,13
45,70,39,17,13
45,70,39,17,13
45,70,39,17,14
45,70,39,17,12
45,70,39,17,14
45,70,39,17,16
45,70,39,17,16
45,70,39,17,15
45,70,39,17,12
45,70,39,17,11
45,70,39,17,12
45,70,39,17,10
45,70,39,17,10
45,70,39,17,13
45,70,39,17,13
45,70,39,17,14
45,70,39,17,14
45,70,39,17,15
45,70,39,17,20
45,70,39,17,21
45,70,39,17,23
45,70,39,17,22
45,70,39,17,21
45,70,39,17,21
45,70,39,17,23
45,70,39,17,25
45,70,39,17,26
45,70,39,17,25
45,70,39,17,24
45,70,39,17,19
45,70,39,17,18
45,70,39,17,19
45,70,39,17,23
45,70,39,17,24
45,70,39,17,24
45,70,39,17,22
45,70,39,17,23
45,70,39,17,24
45,70,39,17,23
45,70,39,17,25
45,70,39,17,26
45,70,39,17,19
45,70,39,15,19
45,70,39,15,17
45,70,39,15,12
45,70,39,15,16
45,70,39,15,15
45,70,39,11,13
45,70,39,11,17
45,70,39,11,19
45,70,39,11,21
20,70,41,0,0
20,70,41,17,3
20,70,41,17,4
20,70,41,17,9
20,70,41,12,10
20,70,41,12,14
20,70,41,12,14
20,70,41,12,9
20,70,41,12,10
20,70,41,12,9
20,70,41,12,10
20,70,41,12,13
20,70,41,12,13
20,70,41,12,12
20,70,41,12,10
20,70,41,12,10
20,70,41,12,9
20,70,41,12,10
20,70,41,12,10
20,70,41,12,13
20,70,41,12,13
20,70,41,12,12
20,70,41,12,13
20,70,41,12,13
20,70,41,12,13
20,70,41,12,14
20,70,41,12,13
20,70,41,12,15
20,70,41,12,17
20,70,41,12,17
20,70,41,12,18
20,70,41,12,18
20,70,41,12,16
20,70,41,12,13
20,70,41,12,12
20,70,41,12,11
20,70,41,12,9
20,70,41,12,7
20,70,41,12,9
20,70,41,12,10
20,70,41,12,11
20,70,41,12,12
20,70,41,12,12
20,70,41,12,12
20,70,41,12,15
20,70,41,12,17
20,70,41,12,17
20,70,41,12,12
20,70,41,12,13
20,70,41,12,9
20,70,41,12,10
20,70,41,12,10
20,70,41,12,12
20,70,41,12,17
20,70,41,12,20
20,70,41,12,19
20,70,41,12,19
20,70,41,12,19
20,70,41,12,10
20,70,41,12,8
20,70,41,12,10
20,70,41,12,13
20,70,41,12,15
20,70,41,12,17
20,70,41,12,17
20,70,41,12,16
20,70,41,12,13
20,70,41,12,10
20,70,41,12,9
20,70,41,12,11
20,60,42,0,0
20,60,42,12,0
20,60,42,12,0
20,60,42,12,1
20,60,42,12,0
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,2
20,60,42,12,2
20,60,42,12,3
20,60,42,12,3
20,60,42,12,2
20,60,42,12,3
20,60,42,12,2
20,60,42,12,2
20,60,42,12,1
20,60,42,12,4
20,60,42,12,3
20,60,42,12,3
20,60,42,12,3
20,60,42,12,3
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,2
20,60,42,12,1
20,60,42,12,1
20,60,42,12,1
20,60,42,12,3
20,60,42,12,4
20,60,42,12,3
20,60,42,12,4
20,60,42,12,6
20,60,42,12,4
20,60,42,12,5
20,60,42,12,6
20,60,42,12,4
20,60,42,12,4
20,60,42,12,4
20,60,42,12,3
20,60,42,12,1
20,60,42,12,1
90,65,44,0,0
90,65,44,12,1
90,65,44,12,4
90,65,44,12,5
90,65,44,12,6
90,65,44,12,7
90,65,44,12,8
90,65,44,12,10
90,65,44,12,10
90,65,44,12,9
90,65,44,12,10
90,65,44,12,11
90,65,44,12,14
90,65,44,12,14
90,65,44,12,15
90,65,44,12,15
90,65,44,12,15
90,65,44,12,14
90,65,44,12,14
90,65,44,12,14
90,65,44,12,15
90,65,44,12,16
90,65,44,12,16
90,65,44,12,16
90,65,44,12,16
90,65,44,12,17
90,65,44,12,16
90,65,44,12,18
90,65,44,12,17
90,65,44,12,19
90,65,44,12,20
90,65,44,12,22
90,65,44,12,23
90,65,44,12,23
90,65,44,12,23
90,65,44,12,25
90,65,44,12,26
90,65,44,12,26
90,65,44,12,27
90,65,44,12,27
90,65,44,12,27
90,65,44,12,27
90,65,44,12,30
90,65,44,12,30
90,65,44,12,30
90,65,44,12,29
90,65,44,12,27
90,65,44,12,24
90,65,44,12,26
90,65,44,12,23
90,65,44,12,22
90,65,44,12,24
90,65,44,12,24
90,65,44,12,24
90,65,44,12,24
90,65,44,12,24
90,65,44,12,21
90,65,44,12,21
90,65,44,12,21
90,65,44,12,21
90,65,44,12,21
90,65,44,12,20
30,85,45,0,0
30,85,45,12,0
30,85,45,12,10
30,85,45,12,14
30,85,45,12,19
30,85,45,12,22
30,85,45,12,26
30,85,45,12,26
30,85,45,12,27
30,85,45,12,26
30,85,45,12,24
30,85,45,10,23
30,85,45,10,25
30,85,45,10,28
30,85,45,9,29
30,85,45,9,30
30,85,45,9,30
30,85,45,9,32
30,85,45,9,33
30,85,45,9,30
30,85,45,9,29
30,85,45,9,28
30,85,45,9,31
30,85,45,9,32
30,85,45,9,30
30,85,45,9,34
30,85,45,9,32
30,85,45,9,34
30,85,45,9,35
30,85,45,9,33
30,85,45,9,33
30,85,45,9,36
30,85,45,9,33
30,85,45,9,34
30,85,45,9,36
30,85,45,9,39
30,85,45,9,41
30,85,45,9,40
30,85,45,9,40
30,85,45,9,40
30,85,45,9,45
30,85,45,9,44
30,85,45,9,44
30,85,45,9,34
30,85,45,9,34
30,85,45,9,35
30,85,45,9,31
30,85,45,9,25
30,85,45,9,27
30,85,45,9,27
30,85,45,9,30
30,85,45,9,27
30,85,45,9,29
30,85,45,9,30
30,85,45,9,31
30,85,45,9,27
30,85,45,9,30
30,85,45,9,31
30,85,45,9,31
30,85,45,9,32
30,85,45,11,32
30,85,45,11,27
30,85,45,11,27
30,85,45,11,28
30,85,45,11,30
30,85,45,11,30
30,85,45,11,30
30,85,45,11,28
30,85,45,11,29
30,85,45,11,27
30,85,45,11,28
30,85,45,11,26
30,85,45,11,24
