Time,Manual_Count,Time,Netgear Inc.,Time,UNKNOWN,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,Intel Corporate,Time,"Huawei Technologies Co., Ltd",Time,Belkin International Inc.,Time,ASUSTek COMPUTER INC.,Time,Liteon Technology Corporation,Time,DrayTek Corp.,Time,"Apple, Inc",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,SEIKO EPSON CORPORATION,Time,"Apple, Inc.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Apple Inc,Time,Liteon Tech Corp.,Time,"Samsung Electro Mechanics co., LTD.",Time,Motorola Mobility LLC,Time,Routerboard.com,Time,Ubiquiti Networks,Time,IBM Corp
,,321,0,321,2,321,1,321,2,321,2,321,2,321,1,321,1,321,1,326,1,334,1,352,0,356,1,373,2,377,1,381,0,403,1,408,1,463,0,463,0,533,0,542,0,603,1,,,,,,,,,,
,,326,0,326,2,326,1,326,2,326,2,326,1,326,2,326,1,326,1,330,1,338,1,356,0,360,1,377,2,381,1,386,0,408,1,412,1,468,0,468,0,537,0,546,0,,,,,,,,,,,,
,,330,0,330,2,330,1,330,2,330,2,330,1,330,2,330,1,330,1,334,1,343,1,360,0,364,1,381,2,386,0,391,0,412,1,416,1,473,0,473,0,542,0,551,0,,,,,,,,,,,,
,,334,0,334,3,334,1,334,2,334,2,334,1,334,2,334,1,334,1,338,1,347,1,364,0,369,1,386,2,391,0,395,0,416,1,421,0,476,0,476,0,546,0,555,0,,,,,,,,,,,,
,,338,0,338,3,338,1,338,2,338,2,338,2,338,2,338,1,338,1,343,1,352,1,369,0,373,1,391,2,395,0,399,0,421,1,425,0,481,0,481,0,551,0,559,0,,,,,,,,,,,,
,,343,0,343,3,343,1,343,2,343,2,343,2,343,2,343,1,343,1,347,1,356,1,373,0,377,1,395,2,399,0,403,0,425,0,429,0,485,0,485,0,555,0,564,0,,,,,,,,,,,,
,,347,0,347,3,347,1,347,2,347,2,347,3,347,2,347,1,347,1,352,1,360,0,377,0,381,1,399,2,403,0,408,0,429,0,434,0,489,0,489,0,559,0,568,0,,,,,,,,,,,,
,,352,0,352,3,352,1,352,2,352,2,352,3,352,2,352,1,352,1,356,0,364,1,381,0,386,1,403,2,408,0,412,0,434,0,438,0,494,0,494,0,564,0,573,0,,,,,,,,,,,,
,,356,0,356,3,356,1,356,2,356,2,356,3,356,2,356,1,356,1,360,0,369,1,386,0,391,1,408,2,412,0,416,0,438,1,442,0,498,0,498,0,568,0,577,0,,,,,,,,,,,,
,,360,0,360,3,360,1,360,1,360,2,360,3,360,2,360,1,360,1,364,0,373,1,391,0,395,1,412,2,416,0,421,0,442,1,446,1,502,0,502,0,573,0,581,0,,,,,,,,,,,,
,,364,0,364,3,364,1,364,1,364,2,364,3,364,2,364,1,364,1,369,1,377,1,395,0,399,1,416,2,421,0,425,0,446,1,451,1,507,0,507,0,577,0,585,0,,,,,,,,,,,,
,,369,0,369,2,369,1,369,1,369,2,369,2,369,2,369,1,369,1,373,1,381,2,399,0,403,1,421,2,425,0,429,0,451,1,455,1,511,0,511,0,581,0,590,0,,,,,,,,,,,,
,,373,0,373,2,373,1,373,1,373,2,373,2,373,2,373,1,373,1,377,1,386,2,403,0,408,1,425,2,429,0,434,0,455,1,459,1,516,0,516,0,585,0,594,0,,,,,,,,,,,,
,,377,0,377,2,377,1,377,1,377,2,377,1,377,2,377,1,377,1,381,1,391,2,408,0,412,1,429,0,434,0,438,0,459,1,463,1,520,0,520,0,590,0,599,0,,,,,,,,,,,,
,,381,0,381,2,381,1,381,1,381,2,381,1,381,1,381,1,381,1,386,1,395,2,412,0,416,1,434,0,438,0,442,0,463,1,468,1,525,0,525,0,594,0,603,0,,,,,,,,,,,,
,,386,0,386,3,386,1,386,1,386,2,386,1,386,1,386,1,386,1,391,1,399,2,416,0,421,1,438,0,442,0,446,0,468,0,473,1,529,1,529,0,599,0,,,,,,,,,,,,,,
,,391,0,391,3,391,1,391,1,391,2,391,2,391,2,391,2,391,1,395,1,403,2,421,0,425,1,442,0,446,0,451,0,473,0,476,1,533,1,533,0,603,0,,,,,,,,,,,,,,
,,395,0,395,3,395,1,395,1,395,2,395,3,395,2,395,2,395,1,399,1,408,2,425,0,429,1,446,0,451,0,455,0,476,0,481,0,537,1,537,0,,,,,,,,,,,,,,,,
,,399,0,399,3,399,1,399,1,399,2,399,3,399,2,399,2,399,1,403,1,412,1,429,0,434,1,451,1,455,0,459,0,481,0,485,0,542,1,542,0,,,,,,,,,,,,,,,,
,,403,1,403,3,403,1,403,1,403,2,403,4,403,2,403,2,403,1,408,1,416,1,434,0,438,1,455,1,459,0,463,0,485,2,489,0,546,1,546,0,,,,,,,,,,,,,,,,
,,408,1,408,3,408,1,408,1,408,2,408,4,408,2,408,2,408,1,412,1,421,1,438,0,442,1,459,1,463,0,468,0,489,2,494,0,551,1,551,0,,,,,,,,,,,,,,,,
,,412,1,412,3,412,1,412,1,412,2,412,4,412,2,412,2,412,2,416,1,425,1,442,0,446,1,463,1,468,0,473,0,494,2,498,0,555,1,555,0,,,,,,,,,,,,,,,,
,,416,1,416,4,416,1,416,1,416,2,416,3,416,2,416,2,416,2,421,1,429,1,446,0,451,1,468,1,473,0,476,0,498,2,502,0,559,0,559,0,,,,,,,,,,,,,,,,
,,421,1,421,4,421,1,421,1,421,2,421,4,421,2,421,2,421,2,425,1,434,1,451,0,455,1,473,1,476,0,481,0,502,2,507,0,564,0,564,0,,,,,,,,,,,,,,,,
,,425,1,425,4,425,1,425,1,425,2,425,3,425,2,425,2,425,2,429,1,438,1,455,0,459,1,476,1,481,0,485,0,507,2,511,0,568,0,568,0,,,,,,,,,,,,,,,,
,,429,1,429,4,429,1,429,1,429,2,429,3,429,2,429,2,429,2,434,1,442,2,459,0,463,1,481,2,485,0,489,0,511,2,516,0,573,0,573,0,,,,,,,,,,,,,,,,
,,434,1,434,4,434,1,434,1,434,2,434,2,434,2,434,2,434,2,438,1,446,2,463,0,468,1,485,2,489,0,494,0,516,0,520,0,577,0,577,0,,,,,,,,,,,,,,,,
,,438,1,438,4,438,1,438,1,438,2,438,2,438,2,438,2,438,2,442,1,451,2,468,0,473,1,489,3,494,0,498,0,520,0,525,0,581,0,581,0,,,,,,,,,,,,,,,,
,,442,1,442,4,442,1,442,1,442,2,442,1,442,2,442,1,442,2,446,1,455,2,473,0,476,1,494,3,498,0,502,0,525,0,529,0,585,0,585,0,,,,,,,,,,,,,,,,
,,446,1,446,3,446,1,446,1,446,2,446,1,446,2,446,1,446,2,451,1,459,2,476,0,481,1,498,3,502,0,507,0,529,1,533,0,590,1,590,0,,,,,,,,,,,,,,,,
,,451,1,451,2,451,1,451,1,451,2,451,1,451,2,451,1,451,1,455,1,463,2,481,0,485,1,502,3,507,0,511,0,533,1,537,0,594,1,594,0,,,,,,,,,,,,,,,,
,,455,1,455,2,455,1,455,1,455,2,455,1,455,2,455,1,455,1,459,1,468,2,485,0,489,1,507,3,511,0,516,0,537,1,542,0,599,1,599,0,,,,,,,,,,,,,,,,
